,Physician_Name,NPI,Physician_Specialty,Company,Nature_of_Payment,Therapeutic_Area,Drug,Total_Payment,Number_of_Payments
2068,"LINDSTROM, RICHARD",1740275908.0,OPHTHALMOLOGY,"OCULAR THERAPEUTIX, INC.",FOOD AND BEVERAGE,CORTICOSTEROID INTRACANALICULAR INSERT,DEXTENZA,201.5,2
2069,"LINGER, SCOTT",1558647180.0,ORTHOPAEDIC SURGERY,"KOWA PHARMACEUTICALS AMERICA, INC.",FOOD AND BEVERAGE,PAIN MANAGEMENT,SEGLENTIS,25.15,2
2070,"LINNOILA, JENNY",1013231901.0,NEUROLOGY,HORIZON THERAPEUTICS PLC,FOOD AND BEVERAGE,UPLIZNA,UPLIZNA,43.06,1
2071,"LIPFORD, MELISSA",1760680615.0,NEUROLOGY,IDORSIA PHARMACEUTICALS US INC,"COMPENSATION FOR SERVICES OTHER THAN CONSULTING, INCLUDING SERVING AS FACULTY OR AS A SPEAKER AT A VENUE OTHER THAN A CONTINUING EDUCATION PROGRAM",INSOMNIA,QUVIVIQ,500.0,1
2072,"LIPHAM, WILLIAM",1528053717.0,OPHTHALMIC PLASTIC AND RECONSTRUCTIVE SURGERY,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,OPHTHALMOLOGY,XIIDRA,18.26,1
2073,"LIPHAM, WILLIAM",1528053717.0,OPHTHALMIC PLASTIC AND RECONSTRUCTIVE SURGERY,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,21.36,1
2074,"LISKO, JANE",1619910890.0,DERMATOLOGY,"JANSSEN BIOTECH, INC.",FOOD AND BEVERAGE,IMMUNOLOGY,TREMFYA,29.65,2
2075,"LISKO, JANE",1619910890.0,DERMATOLOGY,"LILLY USA, LLC",FOOD AND BEVERAGE,IMMUNOLOGY,TALTZ,13.65,1
2076,"LISKO, JANE",1619910890.0,DERMATOLOGY,PFIZER INC.,FOOD AND BEVERAGE,DERMATOLOGY,EUCRISA,12.84,1
2077,"LISKO, JANE",1619910890.0,PROCEDURAL DERMATOLOGY,INCYTE CORPORATION,FOOD AND BEVERAGE,DERMATOLOGY,OPZELURA,34.230000000000004,2
2078,"LITERSKI, ALEXANDRA",1063908564.0,OPTOMETRIST,"ALLERGAN, INC.",FOOD AND BEVERAGE,OPHTHALMOLOGY,VUITY,123.51,2
2079,"LITZOW, MARK",1871579672.0,HEMATOLOGY,"KITE PHARMA, INC.",CONSULTING FEE,CELLT,TECARTUS,1225.0,1
2080,"LITZOW, MARK",1871579672.0,HEMATOLOGY,"KITE PHARMA, INC.",FOOD AND BEVERAGE,CELLT,TECARTUS,51.13,1
2081,"LIU, ANDY",1265085039.0,GASTROENTEROLOGY,"SALIX PHARMACEUTICALS, A DIVISION OF BAUSCH HEALTH US, LLC",FOOD AND BEVERAGE,GASTROENTEROLOGY,TRULANCE,103.28999999999999,6
2082,"LIU, ANDY",1265085039.0,GASTROENTEROLOGY,"SALIX PHARMACEUTICALS, A DIVISION OF BAUSCH HEALTH US, LLC",FOOD AND BEVERAGE,GASTROENTEROLOGY,XIFAXAN,53.19,5
2083,"LIU, JOSHUA",1649665795.0,INTERNAL MEDICINE,"JANSSEN BIOTECH, INC.",FOOD AND BEVERAGE,IMMUNOLOGY,TREMFYA,56.51,4
2084,"LIU, JOSHUA",1649665795.0,INTERNAL MEDICINE,PFIZER INC.,FOOD AND BEVERAGE,GASTROINTESTINAL;INFLAMMATION;OPHTHALMOLOGY;TRANSPLANT,XELJANZ,28.4,2
2085,"LIU, YANG",1285079988.0,HEMATOLOGY & ONCOLOGY,BAYER HEALTHCARE PHARMACEUTICALS INC.,FOOD AND BEVERAGE,ONCOLOGY,NUBEQA,18.67,1
2086,"LO, CHIA-YIN",1881858199.0,DENTIST,ELEVATE ORAL CARE,FOOD AND BEVERAGE,DENTISTRY,FLUORIMAX 5000,12.27,1
2087,"LOBANOFF, MARK",1205870045.0,OPHTHALMOLOGY,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,OPHTHALMOLOGY,XIIDRA,48.74,2
2088,"LOBANOFF, MARK",1205870045.0,OPHTHALMOLOGY,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,32.06,2
2089,"LOFGREN, SARAH",1689991028.0,INTERNAL MEDICINE,"INSMED, INC.",EDUCATION,RESPIRATORY,ARIKAYCE,16.24,1
2090,"LONG, CAMERON",1013344506.0,INTERNAL MEDICINE,"INSMED, INC.",EDUCATION,RESPIRATORY,ARIKAYCE,16.24,1
2091,"LONG, KRYSTAL",1942555974.0,OPTOMETRIST,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,OPHTHALMOLOGY,XIIDRA,48.650000000000006,3
2092,"LONG, SHERRI",1013980671.0,DERMATOLOGY,AMGEN INC.,FOOD AND BEVERAGE,INFLAMMATION,OTEZLA,23.94,1
2093,"LONG, SHERRI",1013980671.0,DERMATOLOGY,INCYTE CORPORATION,FOOD AND BEVERAGE,DERMATOLOGY,OPZELURA,32.55,2
2094,"LONG, SHERRI",1013980671.0,DERMATOLOGY,"JANSSEN BIOTECH, INC.",FOOD AND BEVERAGE,IMMUNOLOGY,TREMFYA,20.32,1
2095,"LONG, SHERRI",1013980671.0,DERMATOLOGY,"LILLY USA, LLC",FOOD AND BEVERAGE,IMMUNOLOGY,OLUMIANT,13.81,1
2096,"LONG, SHERRI",1013980671.0,DERMATOLOGY,"ORTHO DERMATOLOGICS, A DIVISION OF BAUSCH HEALTH US, LLC",FOOD AND BEVERAGE,DERMATOLOGY,DUOBRII,53.77,1
2097,"LONG, SHERRI",1013980671.0,DERMATOLOGY,"ORTHO DERMATOLOGICS, A DIVISION OF BAUSCH HEALTH US, LLC",FOOD AND BEVERAGE,ONCOLOGY,TARGRETIN,39.16,1
2098,"LONG, SHERRI",1013980671.0,DERMATOLOGY,PFIZER INC.,FOOD AND BEVERAGE,DERMATOLOGY,EUCRISA,13.78,1
2099,"LOOMIS, TROY",1568422301.0,OPTOMETRIST,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,OPHTHALMOLOGY,XIIDRA,48.74,2
2100,"LOOMIS, TROY",1568422301.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,45.34,3
2101,"LOOMIS, TROY",1568422301.0,OPTOMETRIST,SUN PHARMACEUTICAL INDUSTRIES INC.,FOOD AND BEVERAGE,OPHTHALMOLOGY,CEQUA,12.51,1
2102,"LOPEZ-JIMENEZ, FRANCISCO",1467430371.0,CARDIOVASCULAR DISEASE,NOVO NORDISK INC,CONSULTING FEE,DIABETES,VICTOZA,11062.5,1
2103,"LOPEZ-JIMENEZ, FRANCISCO",1467430371.0,CARDIOVASCULAR DISEASE,NOVO NORDISK INC,FOOD AND BEVERAGE,DIABETES,VICTOZA,195.13,1
2104,"LOPEZ-JIMENEZ, FRANCISCO",1467430371.0,CARDIOVASCULAR DISEASE,NOVO NORDISK INC,TRAVEL AND LODGING,DIABETES,VICTOZA,1336.69,3
2105,"LOPRINZI, CHARLES",1194704676.0,MEDICAL ONCOLOGY,"VELOXIS PHARMACEUTICALS, INC.",CONSULTING FEE,IMMUNOSUPPRESANT,ENVARSUS,5375.0,2
2106,"LORENZ, BRYAN",1881634806.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,12.97,1
2107,"LOWE, DAVID",1770536062.0,ALLERGY & IMMUNOLOGY,ASTRAZENECA PHARMACEUTICALS LP,FOOD AND BEVERAGE,CARDIOVASCULAR AND METABOLISM,FARXIGA,13.6,1
2108,"LOWE, DAVID",1770536062.0,ALLERGY & IMMUNOLOGY,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",FOOD AND BEVERAGE,RESPIRATORY,SPIRIVA RESPIMAT,12.58,1
2109,"LOWE, DAVID",1770536062.0,ALLERGY & IMMUNOLOGY,MYLAN SPECIALTY L.P.,FOOD AND BEVERAGE,"ANTICHOLINERGICS, INHALED",YUPELRI,14.59,1
2110,"LUCIDO, MARY LYNNE",1952354995.0,GASTROENTEROLOGY,ABBVIE INC.,FOOD AND BEVERAGE,ENDOCRINOLOGY,CREON,21.12,1
2111,"LUCIDO, MARY LYNNE",1952354995.0,GASTROENTEROLOGY,ABBVIE INC.,FOOD AND BEVERAGE,GASTROENTEROLOGY,LINZESS,15.46,1
2112,"LUCIDO, MARY LYNNE",1952354995.0,GASTROENTEROLOGY,MERCK SHARP & DOHME LLC,FOOD AND BEVERAGE,INFECTIOUS DISEASE,DIFICID,32.21,2
2113,"LUCIDO, MARY LYNNE",1952354995.0,GASTROENTEROLOGY,"SALIX PHARMACEUTICALS, A DIVISION OF BAUSCH HEALTH US, LLC",FOOD AND BEVERAGE,GASTROENTEROLOGY,TRULANCE,16.83,1
2114,"LUCIDO, MARY LYNNE",1952354995.0,GASTROENTEROLOGY,"SALIX PHARMACEUTICALS, A DIVISION OF BAUSCH HEALTH US, LLC",FOOD AND BEVERAGE,GASTROENTEROLOGY,XIFAXAN,54.22,3
2115,"LUCIDO, MARY LYNNE",1952354995.0,GASTROENTEROLOGY,"TAKEDA PHARMACEUTICALS U.S.A., INC.",FOOD AND BEVERAGE,INTERNAL MEDICINE,MOTEGRITY,13.66,1
2116,"LUEHMANN, VICKI",1942399456.0,OPTOMETRIST,ABBVIE INC.,FOOD AND BEVERAGE,GLAUCOMA,DURYSTA,28.62,1
2117,"LUEHMANN, VICKI",1942399456.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,13.96,1
2118,"LUIS, SUSHIL",1447691175.0,CARDIOVASCULAR DISEASE,"KINIKSA PHARMACEUTICALS, LTD.",CONSULTING FEE,RHEUMATOLOGY,ARCALYST,1675.0,1
2119,"LUKNER, RALF",1053607507.0,INTERNAL MEDICINE,"JANSSEN PHARMACEUTICALS, INC",FOOD AND BEVERAGE,CARDIOVASCULAR & METABOLISM,XARELTO,42.19,1
2120,"LUMA, TERRY",1023350949.0,FAMILY MEDICINE,AMGEN INC.,FOOD AND BEVERAGE,INFLAMMATION,OTEZLA,86.1,5
2121,"LUMA, TERRY",1023350949.0,FAMILY MEDICINE,"SALIX PHARMACEUTICALS, A DIVISION OF BAUSCH HEALTH US, LLC",FOOD AND BEVERAGE,GASTROENTEROLOGY,XIFAXAN,11.72,1
2122,"LUND, ERIK",1477813731.0,ORTHOPAEDIC TRAUMA,"HERON THERAPEUTICS, INC.",FOOD AND BEVERAGE,POSTOPERATIVE PAIN,ZYNRELEF,30.0,1
2123,"LUND, SARA",1649567173.0,INFECTIOUS DISEASE,"INSMED, INC.",EDUCATION,RESPIRATORY,ARIKAYCE,32.48,2
2124,"LUNZER, JOAN",1346253366.0,INTERNAL MEDICINE,NOVO NORDISK INC,EDUCATION,DIABETES,OZEMPIC,32.27,1
2125,"LUNZER, JOAN",1346253366.0,INTERNAL MEDICINE,NOVO NORDISK INC,FOOD AND BEVERAGE,DIABETES,OZEMPIC,13.31,1
2126,"LUTZWICK, STEVEN",1649295122.0,PSYCHIATRY,"JANSSEN PHARMACEUTICALS, INC",FOOD AND BEVERAGE,NEUROSCIENCE,INVEGA SUSTENNA,11.94,1
2127,"LUTZWICK, STEVEN",1649295122.0,PSYCHIATRY,LUNDBECK LLC,FOOD AND BEVERAGE,PSYCHIATRY,REXULTI,11.86,1
2128,"LUXENBERG HAMMER, ERIN",1750600565.0,DERMATOLOGY,"E.R. SQUIBB & SONS, L.L.C.",FOOD AND BEVERAGE,IMMUNOLOGY,SOTYKTU,12.99,1
2129,"LUXENBERG HAMMER, ERIN",1750600565.0,INTERNAL MEDICINE,INCYTE CORPORATION,FOOD AND BEVERAGE,DERMATOLOGY,OPZELURA,33.53,2
2130,"LYNCH, JEFFREY",1285898221.0,OPHTHALMOLOGY,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,OPHTHALMOLOGY,XIIDRA,37.82,2
2131,"LYON, ALBERT",1093994691.0,OBSTETRICS & GYNECOLOGY,"EVOFEM BIOSCIENCES, INC.",FOOD AND BEVERAGE,MISCELLANEOUS VAGINAL AGENT,PHEXXI,24.26,1
2132,"LYONS, MICHAEL",1194771352.0,ANESTHESIOLOGY,PACIRA PHARMACEUTICALS INCORPORATED,FOOD AND BEVERAGE,PAIN MANAGEMENT,EXPAREL,21.51,1
2133,"MAAG, LINDA",1801846761.0,OBSTETRICS & GYNECOLOGY,ABBVIE INC.,FOOD AND BEVERAGE,WOMENS HEALTH,ORILISSA,17.46,1
2134,"MAAG, LINDA",1801846761.0,OBSTETRICS & GYNECOLOGY,ASTELLAS PHARMA US INC,FOOD AND BEVERAGE,UROLOGY,MYRBETRIQ,16.01,1
2135,"MAAG, LINDA",1801846761.0,OBSTETRICS & GYNECOLOGY,"EXELTIS, USA INC.",FOOD AND BEVERAGE,ORAL CONTRACEPTIVE,SLYND,17.21,1
2136,"MAAG, LINDA",1801846761.0,OBSTETRICS & GYNECOLOGY,MYOVANT SCIENCES INC.,FOOD AND BEVERAGE,HORMONE THERAPY,MYFEMBREE,14.18,1
2137,"MACENTEE, JESSICA",1356723639.0,ANESTHESIOLOGY,PACIRA PHARMACEUTICALS INCORPORATED,FOOD AND BEVERAGE,PAIN MANAGEMENT,EXPAREL,21.51,1
2138,"MACK, KENNETH",1689651044.0,NEUROLOGY WITH SPECIAL QUALIFICATIONS IN CHILD NEUROLOGY,IMPEL PHARMACEUTICALS INC.,FOOD AND BEVERAGE,MIGRAINE,TRUDHESA,97.65,1
2139,"MACKNER, JEFFREY",1598789893.0,OPTOMETRIST,ABBVIE INC.,FOOD AND BEVERAGE,OPHTHALMOLOGY,VUITY,11.97,1
2140,"MACKNER, JEFFREY",1598789893.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,13.48,1
2141,"MADANIPOUR, SHAHZAD",1295086247.0,DIAGNOSTIC RADIOLOGY,BAYER HEALTHCARE PHARMACEUTICALS INC.,FOOD AND BEVERAGE,CARDIO-RENAL,KERENDIA,29.88,1
2142,"MADHOK, RAJNEESH",1669589438.0,DERMATOLOGY,"JANSSEN BIOTECH, INC.",FOOD AND BEVERAGE,IMMUNOLOGY,TREMFYA,14.24,1
2143,"MADHOK, RAJNEESH",1669589438.0,DERMATOLOGY,"LILLY USA, LLC",FOOD AND BEVERAGE,IMMUNOLOGY,TALTZ,14.07,1
2144,"MADHOK, RAJNEESH",1669589438.0,DERMATOLOGY,PFIZER INC.,FOOD AND BEVERAGE,DERMATOLOGY,EUCRISA,20.01,1
2145,"MAGNESS-WELLMANN, DANIELLE",1679729164.0,INTERNAL MEDICINE,IRONSHORE PHARMACEUTICALS INC.,FOOD AND BEVERAGE,CENTRAL NERVOUS STIMULANT ADHD,JORNAY PM,26.33,2
2146,"MAGNESS-WELLMANN, DANIELLE",1679729164.0,PSYCHIATRY,ABBVIE INC.,"COMPENSATION FOR SERVICES OTHER THAN CONSULTING, INCLUDING SERVING AS FACULTY OR AS A SPEAKER AT A VENUE OTHER THAN A CONTINUING EDUCATION PROGRAM",NEUROSCIENCE,VRAYLAR,6975.0,3
2147,"MAGNESS-WELLMANN, DANIELLE",1679729164.0,PSYCHIATRY,ABBVIE INC.,FOOD AND BEVERAGE,NEUROSCIENCE,VRAYLAR,49.480000000000004,7
2148,"MAGNESS-WELLMANN, DANIELLE",1679729164.0,PSYCHIATRY,ABBVIE INC.,TRAVEL AND LODGING,NEUROSCIENCE,VRAYLAR,50.0,1
2149,"MAGNESS-WELLMANN, DANIELLE",1679729164.0,PSYCHIATRY,ACADIA PHARMACEUTICALS INC,FOOD AND BEVERAGE,PARKINSONS DISEASE PSYCHOSIS,NUPLAZID,17.4,1
2150,"MAGNESS-WELLMANN, DANIELLE",1679729164.0,PSYCHIATRY,"ALKERMES, INC.",FOOD AND BEVERAGE,CNS,ARISTADA,25.67,2
2151,"MAGNESS-WELLMANN, DANIELLE",1679729164.0,PSYCHIATRY,ALMATICA PHARMA LLC,FOOD AND BEVERAGE,ANTI-DEPRESSION,CITALOPRAM,12.4,1
2152,"MAGNESS-WELLMANN, DANIELLE",1679729164.0,PSYCHIATRY,ALMATICA PHARMA LLC,FOOD AND BEVERAGE,POSTHERPETIC NEURALGIA,GRALISE,13.08,1
2153,"MAGNESS-WELLMANN, DANIELLE",1679729164.0,PSYCHIATRY,"CORIUM, LLC",FOOD AND BEVERAGE,CNS STIMULANT FOR ADHD,AZSTARYS,15.82,1
2154,"MAGNESS-WELLMANN, DANIELLE",1679729164.0,PSYCHIATRY,"ITI, INC.",FOOD AND BEVERAGE,PSYCHIATRY,CAPLYTA,12.31,1
2155,"MAGNESS-WELLMANN, DANIELLE",1679729164.0,PSYCHIATRY,"JANSSEN PHARMACEUTICALS, INC",FOOD AND BEVERAGE,NEUROSCIENCE,INVEGA SUSTENNA,12.64,1
2156,"MAGNESS-WELLMANN, DANIELLE",1679729164.0,PSYCHIATRY,SUNOVION PHARMACEUTICALS INC.,FOOD AND BEVERAGE,CNS,LATUDA,27.4,3
2157,"MAGNESS-WELLMANN, DANIELLE",1679729164.0,PSYCHIATRY,"TAKEDA PHARMACEUTICALS U.S.A., INC.",FOOD AND BEVERAGE,NEUROSCIENCE,TRINTELLIX,15.97,1
2158,"MAGNUSON, SARAH",1457510596.0,GENERAL PRACTICE,ELEVATE ORAL CARE,FOOD AND BEVERAGE,DENTISTRY,FLUORIMAX 5000,11.83,1
2159,"MAHIPAL, AMIT",1417148180.0,MEDICAL ONCOLOGY,DAIICHI SANKYO INC.,FOOD AND BEVERAGE,ONCOLOGY,ENHERTU,109.0,1
2160,"MAHIPAL, AMIT",1417148180.0,MEDICAL ONCOLOGY,"HELSINN THERAPEUTICS (U.S.), INC.",FOOD AND BEVERAGE,ONCOLOGY,TRUSELTIQ,92.55,1
2161,"MAHIPAL, AMIT",1417148180.0,MEDICAL ONCOLOGY,"TAIHO ONCOLOGY, INC.","COMPENSATION FOR SERVICES OTHER THAN CONSULTING, INCLUDING SERVING AS FACULTY OR AS A SPEAKER AT A VENUE OTHER THAN A CONTINUING EDUCATION PROGRAM",ONCOLOGY,LYTGOBI,10890.0,1
2162,"MAHIPAL, AMIT",1417148180.0,MEDICAL ONCOLOGY,"TAIHO ONCOLOGY, INC.",FOOD AND BEVERAGE,ONCOLOGY,LYTGOBI,70.0,2
2163,"MAHIPAL, AMIT",1417148180.0,MEDICAL ONCOLOGY,"TAIHO ONCOLOGY, INC.",TRAVEL AND LODGING,ONCOLOGY,LYTGOBI,1571.12,8
2164,"MAHON, JOSEPH",1295171072.0,UROLOGY,"ACCORD HEALTHCARE, INC.",FOOD AND BEVERAGE,ONCOLOGY,CAMCEVI,32.629999999999995,2
2165,"MAHON, JOSEPH",1295171072.0,UROLOGY,"ANTARES PHARMA, INC.",FOOD AND BEVERAGE,NOCTURIA DUE TO NOCTURNAL POLYURIA IN ADULTS,NOCDURNA,74.07000000000001,7
2166,"MAHON, JOSEPH",1295171072.0,UROLOGY,"ANTARES PHARMA, INC.",FOOD AND BEVERAGE,TESTOSTERONE REPLACEMENT THERAPY,TLANDO,50.0,1
2167,"MAHON, JOSEPH",1295171072.0,UROLOGY,ASTELLAS PHARMA US INC,FOOD AND BEVERAGE,ONCOLOGY,XTANDI,45.88,3
2168,"MAHON, JOSEPH",1295171072.0,UROLOGY,DENDREON PHARMACEUTICALS LLC,FOOD AND BEVERAGE,CELLULAR BIOLOGIC TREATMENT FOR PROSTATE CANCER,PROVENGE,44.72,2
2169,"MAHON, JOSEPH",1295171072.0,UROLOGY,PACIRA PHARMACEUTICALS INCORPORATED,HONORARIA,PAIN MANAGEMENT,EXPAREL,122.0,1
2170,"MAHONEY, DEBORAH",1376565176.0,FAMILY MEDICINE,NOVO NORDISK INC,FOOD AND BEVERAGE,DIABETES,RYBELSUS,104.02,1
2171,"MAIERS, ANDREW",1417344938.0,FAMILY MEDICINE,BAYER HEALTHCARE PHARMACEUTICALS INC.,FOOD AND BEVERAGE,CARDIO-RENAL,KERENDIA,15.49,1
2172,"MAINGI, CHETAN",1952408809.0,DERMATOLOGY,"KYOWA KIRIN, INC.",EDUCATION,MONOCLONAL ANTIBODY,POTELIGEO,23.5,1
2173,"MAINGI, CHETAN",1952408809.0,DERMATOLOGY,"LILLY USA, LLC",FOOD AND BEVERAGE,IMMUNOLOGY,TALTZ,14.23,1
2174,"MAKOL, ASHIMA",1407047707.0,RHEUMATOLOGY,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",CONSULTING FEE,RESPIRATORY,OFEV,2880.0,1
2175,"MALETTA SHIBLEY, KIM",1184685042.0,OBSTETRICS & GYNECOLOGY,ORGANON LLC,FOOD AND BEVERAGE,ETONOGESTREL,NEXPLANON,23.28,1
2176,"MALIKOWSKI, ANNA",1073575098.0,OPTOMETRIST,"ALLERGAN, INC.",FOOD AND BEVERAGE,OPHTHALMOLOGY,VUITY,27.42,1
2177,"MALIKOWSKI, ANNA",1073575098.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,41.83,3
2178,"MALIKOWSKI, ANNA",1073575098.0,OPTOMETRIST,SUN PHARMACEUTICAL INDUSTRIES INC.,FOOD AND BEVERAGE,OPHTHALMOLOGY,CEQUA,13.44,1
2179,"MALMANGER, DAVID",1700890803.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,21.17,1
2180,"MALONEY, ANDREW",1518260876.0,PEDIATRICS,"CORIUM, LLC",FOOD AND BEVERAGE,TREATMENT OF DEMENTIA OF THE ALZHEIMERS TYPE,ADLARITY,22.5,1
2181,"MALTRY, AMANDA",1609005487.0,OPHTHALMOLOGY,"ALLERGAN, INC.",FOOD AND BEVERAGE,OPHTHALMOLOGY,VUITY,15.13,1
2182,"MALTRY, AMANDA",1609005487.0,OPHTHALMOLOGY,HORIZON THERAPEUTICS PLC,FOOD AND BEVERAGE,TEPEZZA,TEPEZZA,13.93,1
2183,"MALTRY, AMANDA",1609005487.0,OPHTHALMOLOGY,SUN PHARMACEUTICAL INDUSTRIES INC.,FOOD AND BEVERAGE,OPHTHALMOLOGY,CEQUA,12.94,1
2184,"MAMILLAPALLI, HIMANAYANI",1114451002.0,HOSPITALIST,ASTRAZENECA PHARMACEUTICALS LP,FOOD AND BEVERAGE,CARDIOVASCULAR AND METABOLISM,BRILINTA,126.12,1
2185,"MAMILLAPALLI, HIMANAYANI",1114451002.0,HOSPITALIST,"JANSSEN PHARMACEUTICALS, INC",FOOD AND BEVERAGE,CARDIOVASCULAR & METABOLISM,XARELTO,22.69,1
2186,"MANI, ARCHANA",1700077344.0,PEDIATRIC DENTISTRY,ELEVATE ORAL CARE,FOOD AND BEVERAGE,DENTISTRY,FLUORIMAX 5000,12.57,1
2187,"MANKONGPAISARNRUNG, CHAROEN",1649567926.0,GASTROENTEROLOGY,ABBVIE INC.,FOOD AND BEVERAGE,GASTROENTEROLOGY,LINZESS,14.9,1
2188,"MANOLES, MICHAEL",1578521555.0,INTERVENTIONAL CARDIOLOGY,ALNYLAM PHARMACEUTICALS INC.,FOOD AND BEVERAGE,GENETIC DISEASE,ONPATTRO,71.73,1
2189,"MANSAI, HUSSEN",1790335446.0,INTERNAL MEDICINE,BAYER HEALTHCARE PHARMACEUTICALS INC.,FOOD AND BEVERAGE,CARDIO-RENAL,KERENDIA,20.0,1
2190,"MANSAI, HUSSEN",1790335446.0,INTERNAL MEDICINE,"JANSSEN PHARMACEUTICALS, INC",FOOD AND BEVERAGE,CARDIOVASCULAR & METABOLISM,XARELTO,38.1,1
2191,"MARCUS, NICHOLAS",1205029071.0,DENTIST,ELEVATE ORAL CARE,FOOD AND BEVERAGE,DENTISTRY,FLUORIMAX 5000,11.77,1
2192,"MARDIS, CHARLES",1487752911.0,INTERNAL MEDICINE,"JANSSEN BIOTECH, INC.",FOOD AND BEVERAGE,INFECTIOUS DISEASES & VACCINES,SYMTUZA,24.62,1
2193,"MARDIS, CHARLES",1487752911.0,INTERNAL MEDICINE,"JANSSEN PRODUCTS, LP",EDUCATION,INFECTIOUS DISEASES & VACCINES,SYMTUZA,194.95999999999998,2
2194,"MARDIS, CHARLES",1487752911.0,INTERNAL MEDICINE,MERCK SHARP & DOHME LLC,FOOD AND BEVERAGE,INFECTIOUS DISEASE,PIFELTRO,12.57,1
2195,"MARIANO, M JERRY",1376582908.0,OPHTHALMOLOGY,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,25.689999999999998,2
2196,"MARKER JOHNSON, JENNIFER",1982673570.0,DENTIST,ELEVATE ORAL CARE,FOOD AND BEVERAGE,DENTISTRY,FLUORIMAX 5000,12.49,1
2197,"MARSH, CRAIG",1922112515.0,FOOT & ANKLE SURGERY,DEPUY SYNTHES SALES INC.,FOOD AND BEVERAGE,NEUROSCIENCE,AXERT,13.0,1
2198,"MARSHALL, LAURA",1265891436.0,FAMILY MEDICINE,ASTRAZENECA PHARMACEUTICALS LP,FOOD AND BEVERAGE,CARDIOVASCULAR AND METABOLISM,LOKELMA,21.95,1
2199,"MARTIN, CINDY",1649468497.0,ADVANCED HEART FAILURE AND TRANSPLANT CARDIOLOGY,ALNYLAM PHARMACEUTICALS INC.,FOOD AND BEVERAGE,GENETIC DISEASE,ONPATTRO,28.53,1
2200,"MARTIN, CINDY",1649468497.0,CARDIOVASCULAR DISEASE,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",FOOD AND BEVERAGE,DIABETES,JARDIANCE,18.58,1
2201,"MARTIN, JESSICA",1538695952.0,OBSTETRICS & GYNECOLOGY,UROVANT SCIENCES INC,FOOD AND BEVERAGE,UROLOGY,GEMTESA,12.38,1
2202,"MARTIN, JOSEPH",1770536542.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,12.35,1
2203,"MARTIN, MICHELLE",1386652907.0,OPTOMETRIST,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,OPHTHALMOLOGY,XIIDRA,22.0,1
2204,"MARTINELLI, JOSEPH",1003867573.0,PULMONARY DISEASE,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",FOOD AND BEVERAGE,RESPIRATORY,OFEV,12.23,1
2205,"MARTINELLI, JOSEPH",1003867573.0,PULMONARY DISEASE,"INSMED, INC.",EDUCATION,RESPIRATORY,ARIKAYCE,48.72,3
2206,"MARTINIE, MARY",1720015316.0,OBSTETRICS & GYNECOLOGY,MYOVANT SCIENCES INC.,FOOD AND BEVERAGE,HORMONE THERAPY,MYFEMBREE,15.82,1
2207,"MARTINSON, BRUCE",1275527442.0,GENERAL PRACTICE,ELEVATE ORAL CARE,FOOD AND BEVERAGE,DENTISTRY,FLUORIMAX 5000,12.21,1
2208,"MARTINSON, JENNIFER",1164526299.0,OBSTETRICS & GYNECOLOGY,MYOVANT SCIENCES INC.,FOOD AND BEVERAGE,HORMONE THERAPY,MYFEMBREE,35.730000000000004,2
2209,"MARUYAMA, HIROMI",1013181775.0,FAMILY MEDICINE,AMGEN INC.,FOOD AND BEVERAGE,INFLAMMATION,OTEZLA,51.08,8
2210,"MARUYAMA, HIROMI",1013181775.0,FAMILY MEDICINE,"SALIX PHARMACEUTICALS, A DIVISION OF BAUSCH HEALTH US, LLC",FOOD AND BEVERAGE,GASTROENTEROLOGY,TRULANCE,16.17,1
